# transcript2.txt
set PrefMain(file) transcript2.txt
# Time = 3400: Comparison Passed: wr_data = df and rd_data = df
# Time = 3440: Comparison Passed: wr_data = bb and rd_data = bb
# Time = 3480: Comparison Passed: wr_data = eb and rd_data = eb
# Time = 3520: Comparison Passed: wr_data = 41 and rd_data = 41
# Time = 3560: Comparison Passed: wr_data = 40 and rd_data = 40
# Time = 3600: Comparison Passed: wr_data = 8a and rd_data = 8a
# Time = 3640: Comparison Passed: wr_data = 03 and rd_data = 03
# Time = 3680: Comparison Passed: wr_data = fc and rd_data = fc
# Time = 3720: Comparison Passed: wr_data = 5d and rd_data = 5d
# Time = 3760: Comparison Passed: wr_data = 1d and rd_data = 1d
# Time = 3800: Comparison Passed: wr_data = 6a and rd_data = 6a
# Time = 3840: Comparison Passed: wr_data = 16 and rd_data = 16
# Time = 3880: Comparison Passed: wr_data = 3f and rd_data = 3f
# Time = 3920: Comparison Passed: wr_data = 23 and rd_data = 23
# Time = 3960: Comparison Passed: wr_data = a8 and rd_data = a8
# Time = 4000: Comparison Passed: wr_data = 90 and rd_data = 90
# Time = 4040: Comparison Passed: wr_data = 25 and rd_data = 25
# Time = 4080: Comparison Passed: wr_data = 82 and rd_data = 82
# Time = 4120: Comparison Passed: wr_data = 5b and rd_data = 5b
# Time = 4160: Comparison Passed: wr_data = f2 and rd_data = f2
# Time = 4200: Comparison Passed: wr_data = 31 and rd_data = 31
# Time = 4240: Comparison Passed: wr_data = cd and rd_data = cd
# Time = 4280: Comparison Passed: wr_data = 64 and rd_data = 64
# Time = 4320: Comparison Passed: wr_data = 2b and rd_data = 2b
# Time = 4360: Comparison Passed: wr_data = ea and rd_data = ea
# *** PASSED ***
# ** Note: $finish    : async_fifo_tb2.sv(117)
#    Time: 7860 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at async_fifo_tb2.sv line 117
# QuestaSim-64 vcover 2019.2_1 Coverage Utility 2019.05 May 13 2019
# Start time: 12:53:26 on Jun 08,2024
# vcover report async_fifo.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT/mem_inst
# === Design Unit: work.fifo_memory
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Expressions                      2         2         0   100.00%
#     Statements                      11        11         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/write_ptr
# === Design Unit: work.write_pointer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      3         3         0   100.00%
#     Statements                      11        11         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/read_ptr
# === Design Unit: work.read_pointer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      1         1         0   100.00%
#     Statements                      11        11         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/sync_w2r
# === Design Unit: work.sync
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/sync_r2w
# === Design Unit: work.sync
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.asynchronous_fifo
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      4         4         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 12:53:26 on Jun 08,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2019.2_1 Coverage Utility 2019.05 May 13 2019
# Start time: 12:53:26 on Jun 08,2024
# vcover report async_fifo.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'async_fifo.ucdb'.
# End time: 12:53:26 on Jun 08,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
