Reading pref.tcl
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /async_fifo_top/DUT/rptr_handler_inst
# === Design Unit: work.rptr_handler
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Expressions                     14        14         0   100.00%
#     Statements                      22        22         0   100.00%
# 
# =================================================================================
# === Instance: /async_fifo_top/DUT/wptr_handler_inst
# === Design Unit: work.wptr_handler
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         6         6         0   100.00%
#     Expressions                     14        14         0   100.00%
#     Statements                      22        22         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 14:12:59 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 14:12:59 on May 25,2026
# vcover report async_fifo.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'async_fifo.ucdb'.
# End time: 14:12:59 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 14:12:59 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
